Points,Distance,Location
s,3,Mainz,Stuttgart
s,4,Mannheim,Würzburg
s,4,Hamburg,Rostock
s,4,Karlsruhe,Augsburg
s,5,Bremen,Düsseldorf
s,6,Dortmund,Mannheim
s,6,Köln,Stuttgart
s,6,Hannover,Leipzig
s,6,Bremen,Kassel
s,6,Berlin,Chemnitz
s,6,Erfurt,Würzburg
s,7,Koblenz,Ulm
s,7,Nürnberg,Stuttgart
s,7,Leipzig,Nürnberg
s,7,Dortmund,Erfurt
s,8,Frankfurt,Lindau
s,8,Niederlande,Frankfurt
s,8,Frankreich,München
s,8,Köln,Nürnberg
s,9,Niederlande,Karlsruhe
s,9,Münster,Stuttgart
s,9,Dortmund,Magdeburg
s,9,Karlsruhe,Regensburg
s,9,Hamburg,Köln
s,9,Frankfurt,München
s,10,Kassel,Freiburg
s,10,Bremen,Berlin
s,10,Düsseldorf,Konstanz
s,10,Frankfurt,Österreich
s,10,Dänemark,Niederlande
s,10,Köln,Schweiz
s,11,Hannover,Saarbrücken
s,11,Hamburg,Frankfurt
m,12,Dresden,Augsburg
m,12,Köln,Leipzig
m,12,Schwerin,Koblenz
m,12,Leipzig,Ulm
m,12,Hamburg,Dresden
m,13,Berlin,Düsseldorf
m,13,Niederlande,Berlin
m,13,Dortmund,München
m,14,Münster,München
m,14,Berlin,Frankfurt
m,15,Emden,Freiburg
m,15,Kiel,Nürnberg
m,15,Hamburg,Stuttgart
m,15,Berlin,München
m,15,Münster,Österreich
m,15,Berlin,Mainz
m,15,Frankreich,Leipzig
m,16,Dresden,Saarbrücken
m,16,Bremerhaven,Regensburg
m,17,Frankreich,Dänemark
m,18,Hamburg,München
m,19,Emden,Österreich
m,20,Dänemark,Regensburg
m,20,Berlin,Schweiz
m,20,Kiel,Schweiz
m,22,Rostock,Konstanz
m,22,Rostock,Österreich
m,22,Dänemark,Lindau
l,28,Dänemark,Düsseldorf,Lindau
e,37,Österreich,Frankfurt,Dänemark,Berlin
